rOut_0,rOut_1,rOut_2,hT_0,hT_1,hT_2,f_0,f_1,f_2,extent,sob,flash_edep
102.5887,56.0576,89.0610,0.048053,0.098799,0.115765,0.8633,0.0388,0.0900,522.1816,3.56000,1.07788e-06
119.8259,57.3056,107.6085,0.068721,0.083965,0.017874,0.4325,0.7117,0.2100,832.3888,3.16000,5.17450e-07
106.7066,64.8603,52.6905,0.133455,0.101088,0.103322,0.7799,0.5667,0.2245,964.8820,3.58000,8.78797e-07
78.5891,75.0859,82.9174,0.078183,0.045401,0.125484,0.5866,0.3528,0.4457,547.6595,3.49000,6.54176e-07
56.9447,78.0127,110.8439,0.096477,0.112821,0.114379,0.3227,0.0612,0.0260,946.6093,4.04000,1.34370e-06
81.4679,53.6033,65.5470,0.044902,0.068845,0.083300,0.0873,0.3348,0.3361,716.7246,3.25000,8.48042e-07
50.0505,85.4293,81.2036,0.068775,0.057087,0.119579,0.7766,0.8837,0.2000,1098.3899,3.04000,5.74286e-07
88.5316,75.1760,76.9130,0.060911,0.052695,0.039629,0.1786,0.3930,0.5597,820.9106,3.52000,6.10872e-07
61.7001,103.7491,92.2438,0.140559,0.085275,0.065834,0.3433,0.2752,0.6209,564.3363,3.71000,7.68272e-07
76.3179,72.5846,119.4521,0.058783,0.012475,0.054573,0.4068,0.3637,0.1613,460.5829,2.76000,4.86805e-07
120.0000,50.0000,69.4209,0.149872,0.042905,0.097349,0.8793,0.9500,0.7383,1100.0000,1.12000,2.12835e-07
120.0000,50.0000,50.0000,0.010000,0.150000,0.099190,0.9500,0.9500,0.0000,1100.0000,2.29000,7.17316e-07
50.0000,80.5122,50.0000,0.109992,0.150000,0.150000,0.0933,0.0000,0.0000,782.8172,3.60000,1.40547e-06
120.0000,50.0000,76.7044,0.104310,0.091127,0.116620,0.4022,0.6008,0.2311,770.5494,3.54000,8.25620e-07
120.0000,120.0000,50.0000,0.150000,0.150000,0.105903,0.9500,0.9500,0.0000,538.9935,2.66000,6.52200e-07
54.9892,85.0099,120.0000,0.122933,0.050452,0.143019,0.5521,0.4715,0.0000,1015.3194,4.09000,9.68010e-07
106.5116,104.7415,67.4952,0.130559,0.022252,0.010000,0.9071,0.5613,0.4273,400.0000,1.84000,1.67672e-07
118.5533,120.0000,111.4542,0.010000,0.048523,0.010000,0.3362,0.6684,0.5613,596.3057,2.17000,1.57937e-07
103.4647,90.8904,89.4136,0.110975,0.049909,0.010000,0.3222,0.4586,0.7610,850.4845,3.42000,4.76799e-07
98.2154,86.2354,118.3592,0.102048,0.033190,0.010000,0.3352,0.1332,0.3447,1032.7656,3.60000,6.60902e-07
61.6870,92.5969,59.6532,0.133207,0.096694,0.010000,0.4712,0.5197,0.4347,937.7476,3.58000,5.60916e-07
120.0000,120.0000,50.0000,0.150000,0.010000,0.010000,0.0000,0.8986,0.5802,478.0810,2.29000,4.28337e-07
60.1564,100.6141,73.1025,0.132557,0.077520,0.010000,0.4335,0.6659,0.5295,927.6216,3.21000,3.74316e-07
61.1938,107.6548,62.7666,0.140714,0.062255,0.010000,0.3760,0.7966,0.5940,901.9298,2.72000,3.14604e-07
68.7184,85.6652,69.8757,0.134227,0.103479,0.084695,0.4970,0.3934,0.3741,927.4739,3.80000,8.26792e-07
75.7179,83.8336,81.6520,0.118597,0.128586,0.150000,0.4761,0.5931,0.9494,855.6368,3.40000,5.11334e-07
67.0780,90.9559,96.6867,0.107614,0.093983,0.010016,0.5177,0.5734,0.4931,788.0561,3.42000,4.06943e-07
118.2407,73.4544,91.1304,0.098084,0.117070,0.010000,0.2572,0.9500,0.7592,595.7880,2.46000,2.63245e-07
50.0002,119.8999,120.0000,0.010000,0.010000,0.010000,0.5304,0.8014,0.5342,892.0476,0.65200,8.94657e-08
66.9129,120.0000,59.0483,0.134714,0.034003,0.010000,0.3720,0.9089,0.6311,830.1978,1.97000,2.41125e-07
119.2837,120.0000,120.0000,0.076395,0.050842,0.010000,0.6827,0.6088,0.4974,1035.4281,2.43000,1.53482e-07
120.0000,120.0000,110.2268,0.012467,0.023964,0.010000,0.9066,0.7909,0.6103,663.6538,0.86100,5.92573e-08
52.6075,90.3593,90.5066,0.100656,0.073940,0.070301,0.4701,0.4023,0.4911,738.8694,3.80000,6.80272e-07
50.0000,92.2241,120.0000,0.014056,0.045479,0.010000,0.8467,0.4590,0.6643,1100.0000,2.76000,3.04885e-07
50.0000,120.0000,109.4119,0.098345,0.076536,0.010000,0.6799,0.3792,0.0000,1100.0000,3.87000,6.52930e-07
72.0479,119.8297,87.9703,0.010000,0.041373,0.010000,0.7017,0.3569,0.4587,900.1924,3.17000,3.50103e-07
87.7676,120.0000,120.0000,0.087817,0.080582,0.071603,0.6079,0.4175,0.4903,1100.0000,3.69000,4.34637e-07
50.0000,102.6639,120.0000,0.062889,0.029959,0.010000,0.9333,0.6128,0.6733,1082.5863,1.82000,1.54113e-07
50.0000,120.0000,120.0000,0.010000,0.107462,0.010000,0.9081,0.9500,0.8167,400.0000,0.70600,6.73165e-08
50.0000,120.0000,120.0000,0.053647,0.010000,0.010000,0.9500,0.9500,0.6793,400.0000,0.31000,6.30956e-08
87.2832,118.4958,80.3115,0.032482,0.119864,0.010000,0.2662,0.5806,0.7614,1667.6992,3.39000,3.24648e-07
120.0000,120.0000,120.0000,0.010000,0.110969,0.010000,0.5886,0.7790,0.6997,2000.0000,2.01000,1.17434e-07
120.0000,120.0000,120.0000,0.049774,0.092058,0.010000,0.5531,0.5985,0.5745,1558.8074,2.93000,2.04945e-07
120.0000,120.0000,120.0000,0.010000,0.066600,0.010000,0.9500,0.7184,0.5337,951.7479,1.96000,1.12401e-07
